GAPLENGHT, PREAMBLELENGHT, PAYLOADLENGHT, DATARATE, speed, totalPackets, totalBits, Count, correctCount, correctPercentage, Starttime, Endtime, Duration, Missedframes, correctDataSpeed, correctPayloadSpeed, usefullPayloadSpeed, distance
24,    24,    512,    0.003,    333b/s,    35000,    20160000,    35,    21,    60%,    1641490345.734741,    1641490441.87301,    96.13827109336853,    34,    125,    108,    108,    95
24,    24,    544,    0.003,    333b/s,    35000,    21280000,    40,    25,    62%,    1641490441.8750982,    1641490534.474339,    92.59924292564392,    39,    164,    142,    142,    95
24,    24,    576,    0.003,    333b/s,    35000,    22400000,    34,    21,    61%,    1641490534.4745831,    1641490626.28944,    91.81485891342163,    33,    146,    128,    128,    95
24,    24,    608,    0.003,    333b/s,    35000,    23520000,    38,    26,    68%,    1641490626.291491,    1641490716.306658,    90.01517009735107,    37,    194,    170,    170,    95
24,    24,    640,    0.003,    333b/s,    35000,    24640000,    26,    13,    50%,    1641490716.308874,    1641490806.3440409,    90.03516912460327,    25,    101,    90,    90,    95
24,    24,    672,    0.003,    333b/s,    35000,    25760000,    32,    19,    59%,    1641490806.34605,    1641490900.637058,    94.29101014137268,    31,    148,    132,    132,    95
24,    24,    704,    0.003,    333b/s,    35000,    26880000,    33,    23,    69%,    1641490900.639101,    1641490996.711773,    96.07267498970032,    32,    183,    164,    164,    95
24,    24,    736,    0.003,    333b/s,    35000,    28000000,    24,    7,    29%,    1641490996.7137961,    1641491089.678032,    92.96423768997192,    23,    60,    54,    54,    95
24,    24,    768,    0.003,    333b/s,    35000,    29120000,    25,    14,    56%,    1641491089.680066,    1641491187.72677,    98.04670596122742,    24,    118,    107,    107,    95
24,    24,    832,    0.003,    333b/s,    35000,    31360000,    20,    3,    15%,    1641491187.727036,    1641491279.853153,    92.12612009048462,    19,    29,    26,    26,    95
24,    24,    896,    0.003,    333b/s,    35000,    33600000,    19,    7,    36%,    1641491279.853587,    1641491371.811533,    91.95794820785522,    18,    73,    66,    66,    95
